2024-07-14 02:43:19 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.49 | B_Pres=1014.29 | B_Temp=22.22 | A_Vel=0.00 | B_Vel=3.71 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,614,-1003 |
2024-07-14 02:43:20 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81029 | B_Alt=-0.28 | B_Pres=1014.35 | B_Temp=22.23 | A_Vel=0.00 | B_Vel=1.68 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,617,-1001 |
2024-07-14 02:43:21 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81029 | B_Alt=0.09 | B_Pres=1014.24 | B_Temp=22.26 | A_Vel=0.00 | B_Vel=0.27 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,619,-1005 |
2024-07-14 02:43:22 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81029 | B_Alt=0.50 | B_Pres=1014.30 | B_Temp=22.27 | A_Vel=0.00 | B_Vel=1.12 | F_Vel=0.00 | Cont_A,M=0,0 | accel=759,622,-1007 |
2024-07-14 02:43:23 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81029 | B_Alt=0.45 | B_Pres=1014.33 | B_Temp=22.27 | A_Vel=0.00 | B_Vel=0.05 | F_Vel=0.00 | Cont_A,M=0,0 | accel=758,618,-1008 |
2024-07-14 02:43:24 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81029 | B_Alt=-0.11 | B_Pres=1014.39 | B_Temp=22.26 | A_Vel=0.00 | B_Vel=-2.87 | F_Vel=0.00 | Cont_A,M=0,0 | accel=755,623,-1000 |
2024-07-14 02:43:25 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.29 | B_Pres=1014.37 | B_Temp=22.20 | A_Vel=0.00 | B_Vel=0.14 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,614,-1005 |
2024-07-14 02:43:26 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.39 | B_Pres=1014.22 | B_Temp=22.20 | A_Vel=0.00 | B_Vel=-1.26 | F_Vel=0.00 | Cont_A,M=0,0 | accel=759,618,-1005 |
2024-07-14 02:43:27 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.47 | B_Pres=1014.29 | B_Temp=22.21 | A_Vel=0.00 | B_Vel=2.19 | F_Vel=0.00 | Cont_A,M=0,0 | accel=757,617,-1003 |
2024-07-14 02:43:28 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.05 | B_Pres=1014.33 | B_Temp=22.25 | A_Vel=0.00 | B_Vel=-2.44 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,616,-1006 |
